MUESTRA;H;Al2O3;SiO2;P2O5;SO3;K2O;CaO;TiO2;MnO;Fe2O3
IT-103;464.90;26.65;64.07;0.25;2.05;1.57;0.88;0.78;0.02;3.57
IT-102;461.70;30.34;59.26;0.23;1.00;1.62;1.01;0.83;0.03;5.51
IT-101;460.40;28.78;62.19;0.23;1.25;1.58;0.87;0.78;0.03;4.03
IT-100;457.20;27.69;63.03;0.26;1.46;1.58;0.92;0.79;0.03;3.77
IT-099;455.60;27.96;63.01;0.29;1.18;1.59;0.94;0.77;0.03;3.83
IT-098;453.00;35.14;57.70;0.12;1.13;1.23;0.90;0.60;0.04;2.68
IT-097;448.70;27.95;63.05;0.22;2.04;1.60;0.87;0.78;0.03;3.32
IT-096;447.20;28.62;59.91;0.15;3.45;1.54;0.88;0.67;0.04;4.35
IT-095;444.75;21.86;63.04;0.21;4.02;0.91;2.49;0.65;0.06;6.34
IT-094;442.30;28.13;58.04;0.18;7.12;0.91;1.70;0.54;0.05;3.15
IT-093;439.50;28.22;63.38;0.22;1.77;1.41;0.98;0.73;0.03;2.88
IT-092;436.50;28.69;62.46;0.16;2.02;1.45;1.02;0.69;0.03;3.04
IT-091;433.70;30.22;55.82;0.16;1.80;0.61;0.75;0.44;0.12;9.91
IT-090;429.30;22.23;67.19;0.22;2.33;1.03;1.01;0.55;0.05;5.26
IT-089;426.00;21.52;63.87;0.57;4.77;0.87;1.46;0.55;0.07;5.86
IT-088;422.50;25.86;62.08;0.28;5.15;1.26;1.39;0.58;0.03;3.24
IT-087;419.00;24.75;64.93;0.29;2.29;1.20;1.36;0.74;0.04;4.22
IT-086;416.70;27.14;64.40;0.26;2.03;1.49;0.99;0.85;0.03;2.64
IT-085;412.50;26.46;62.91;0.30;2.17;1.38;0.93;0.84;0.03;4.83
IT-084;411.00;27.53;63.47;0.26;1.42;1.41;0.90;0.80;0.03;4.01
IT-083;407.80;28.36;63.55;0.23;0.52;1.49;0.96;0.87;0.03;3.58
IT-082;405.20;32.15;59.24;0.16;1.36;1.63;1.01;0.92;0.02;3.30
IT-081;402.75;29.85;61.19;0.30;1.19;1.54;0.92;0.81;0.03;4.01
IT-080;397.30;36.09;57.09;0.15;1.09;1.21;1.10;0.64;0.04;2.37
IT-079;391.50;29.64;61.98;0.32;0.50;1.55;0.90;0.81;0.03;4.11
IT-078;389.25;35.25;57.71;0.49;0.45;1.20;0.71;0.55;0.05;3.48
IT-077;387.75;37.78;55.63;0.19;0.74;1.39;0.76;0.67;0.03;2.56
IT-076;384.20;38.29;52.89;0.14;3.32;1.42;0.79;0.63;0.02;2.28
